com_num,name,sic_code
11267284,20 NS MANAGEMENT LIMITED,68209
05686727,20 OAKSFORD AVENUE ENFRANCHISEMENT COMPANY LIMITED,55900
07217524,20 OBAN ROAD LIMITED,68100
SC846178,20 OF LTD,73110
SC846178,20 OF LTD,82990
12002056,20 OLD BETHNAL GREEN ROAD RTM COMPANY LTD,98000
11593845,20 OLD SHOREHAM ROAD (FREEHOLD) LIMITED,98000
05828149,20 OLDFIELD ROAD MANAGEMENT COMPANY LIMITED,68209
05389275,20 ORCHARD ROAD LIMITED,98000
15920993,20 ORDNANCE ROW LTD,68100
15920993,20 ORDNANCE ROW LTD,68209
14295113,20 PALM BAY AVENUE (FREEHOLD) LTD,98000
03620499,20 PALMEIRA SQUARE MANAGEMENT LTD.,98000
10776030,20 PALMERSTON ROAD RTM COMPANY LIMITED,98000
07554748,20 PARADISE LTD,56302
06215620,20 PARK AVENUE (KIDLINGTON) MANAGEMENT COMPANY LIMITED,68201
05132284,20 PARK AVENUE LIMITED,96090
05977819,20 PARK AVENUE MANAGEMENT LIMITED,98000
10593189,20 PARK AVENUE N13 LIMITED,98000
04960999,20 PARK ROAD MANAGEMENT COMPANY LIMITED,55900
08670254,20 PARKSIDE CLOSE MANAGEMENT COMPANY LIMITED,98000
14304907,20 PARSIFAL ROAD FREEHOLD LIMITED,98000
11837694,20 PEPPARD RD LTD,98000
15078082,20 PEPPARD RD MANAGEMENT LTD,68320
06216786,20 PORTLAND ROAD (HOVE) LIMITED,98000
10768789,20 PORTLAND SQUARE (BRISTOL) MANAGEMENT COMPANY LIMITED,68320
08122251,20 POYNDERS ROAD LTD,68209
02250776,20 PRINCE OF WALES TERRACE LIMITED,98000
13604342,20 PRINCES STREET RTM COMPANY LTD,98000
10224298,20 PROPERTY FREEHOLD MANAGEMENT LIMITED,68100
14913689,20 PROPERTY HOLDINGS LTD,68209
07796108,20 PROPERTY MANAGEMENT LIMITED,68209
08979836,20 PS MANAGEMENT LIMITED,68320
11037061,20 PURBECK ROAD MANAGEMENT COMPANY LIMITED,98000
12879552,20 PURLEY KNOLL LIMITED,41100
14573946,20 QDOWN DRIVE LIMITED,68100
01495418,20 QUEEN'S GATE GARDENS LIMITED,98000
04263974,20 QUEENS AVENUE MANAGEMENT LIMITED,98000
07035587,20 QUEENS GATE PLACE FREEHOLD LIMITED,98000
15261735,20 QUEENS ROAD (TWICKENHAM) MANAGEMENT LIMITED,98000
05186191,20 QUEENS ROAD RTM COMPANY LIMITED,99999
15199403,20 QUEENS TERRACE FREEHOLD CO LTD,98000
13275679,20 RADNOR BRIDGE ROAD RTM COMPANY LIMITED,98000
06162063,20 RAINHAM ROAD MANAGEMENT LIMITED,68209
03770770,20 RALEIGH GARDENS LIMITED,97000
03571720,20 RAMILLIES ROAD LIMITED,99999
12566314,20 RAMSDEN ROAD FREEHOLD LTD,98000
07118542,20 RANELAGH VILLAS LIMITED,98000
04757198,20 RASTELL AVENUE MANAGEMENT LIMITED,68320
03360556,20 REDCLIFFE GARDENS MANAGEMENT LIMITED,98000
10981032,20 REDCLIFFE GARDENS RTM COMPANY LIMITED,98000
04978277,20 REDCLIFFE ROAD LIMITED,68100
08618076,20 REDFIELD LANE MANAGEMENT LIMITED,98000
04261665,20 REDLAND PARK MANAGEMENT COMPANY LIMITED,98000
07736879,20 REGENT STREET MANAGEMENT COMPANY LTD,98000
04592936,20 RIBBLESDALE ROAD MANAGEMENT LIMITED,98000
11237988,20 RICHMOND AVENUE RTM COMPANY LIMITED,98000
02652413,20 RICHMOND ROAD TAUNTON (MANAGEMENT) LIMITED,98000
06463421,20 RICHMOND TERRACE MANAGEMENT COMPANY LIMITED,98000
13902886,20 RIDGE LTD,68100
16538743,20 RIGGINDALE ROAD LIMITED,99999
02443135,20 ROCKS LANE MANAGEMENT COMPANY LIMITED,68209
02300531,20 RODERICK ROAD LIMITED,98000
06301777,20 ROSARY GARDENS FREEHOLD COMPANY LIMITED,74990
05460925,20 ROSARY GARDENS LIMITED,98000
01069355,20 ROSECROFT AVENUE TENANTS MANAGEMENT COMPANY LIMITED,98000
05078879,20 ROSEMONT ROAD MANAGEMENT LIMITED,98000
16512918,20 ROSSLYN ROAD LTD,98000
03034944,20 ROSTREVOR ROAD MANAGEMENT COMPANY LIMITED,68100
12783026,20 ROW MEDIA LTD,58190
16339743,20 RUTLAND STREET LIMITED,99999
07032462,20 SACKVILLE GARDENS (HOVE) LIMITED,98000
11627516,20 SACKVILLE ROAD (HOVE) LIMITED,98000
06632906,20 SACKVILLE STREET MANAGEMENT COMPANY LIMITED,98000
02447749,20 SALISBURY ROAD RESIDENTS ASSOCIATION LIMITED,68209
07724143,20 SALTOUN ROAD MANAGEMENT COMPANY LIMITED,68320
08305761,20 SALTRAM CRESCENT MANAGEMENT LTD,98000
04943480,20 SANGORA ROAD LIMITED,98000
14292102,20 SEARS STREET RTM COMPANY LIMITED,98000
04290047,20 SEATON AVENUE MANAGEMENT COMPANY LIMITED,68320
17155903,20 SECONDS INVESTMENTS LTD,64209
07476615,20 SEFTON ROAD LIMITED,98000
08193826,20 SELBORNE ROAD RTM LIMITED,68320
13433315,20 SEND BARNS LANE LIMITED,41100
03268923,20 SHAILS LANE LIMITED,98000
10665095,20 SHAKESPEARE ROAD LIMITED,98000
16757825,20 SHARP MEN LTD,47810
16757825,20 SHARP MEN LTD,47910
16757825,20 SHARP MEN LTD,56210
17210995,20 SHARP MINDS LTD,46342
17210995,20 SHARP MINDS LTD,47810
17210995,20 SHARP MINDS LTD,82301
17210995,20 SHARP MINDS LTD,90020
06455221,20 SHORTLANDS GROVE MANAGEMENT COMPANY LIMITED,98000
05548376,20 SIDNEY AVENUE LIMITED,98000
11074825,20 SINCLAIR ROAD RTM COMPANY LIMITED,98000
07134387,20 SIXTEEN LIMITED,70221
09734503,20 SLALEY CLOSE LTD,68100
10258321,20 SNOWDOWN CLOSE MANAGEMENT COMPANY LTD,98000
06241394,20 SOMERFIELD ROAD FREEHOLD LIMITED,99999
03054882,20 SOMERS ROAD MANAGEMENT COMPANY LIMITED,98000
10792724,20 SOUTH HILL PARK GARDENS RTM COMPANY LTD,98000
12058472,20 SOUTH STREET FREEHOLD LIMITED,68209
16483997,20 SOUTH STREET LTD,90010
03420402,20 SOUTHAMPTON ROAD LIMITED,98000
08499161,20 SOUTHAMPTON STREET MANAGEMENT COMPANY LIMITED,98000
06532068,20 SOUTHSIDE (WSM) LTD,98000
07546465,20 SPRING STREET LIMITED,68209
16067130,20 ST ANDREWS C (SW18) RTM COMPANY LIMITED,98000
15148791,20 ST CHARLES SQUARE RTM COMPANY LIMITED,98000
06363366,20 ST JAMES PLACE WEST LIMITED,98000
02323685,20 ST JOHNS ROAD CLEVEDON FLAT MANAGEMENT CO LIMITED,98000
03758088,20 ST LUKE'S ROAD RESIDENTS ASSOCIATION LIMITED,98000
08193471,20 ST MARK'S HILL LIMITED,98000
16004437,20 ST MARYS ROAD LIMITED,98000
10888215,20 ST MICHAEL'S PLACE (BRIGHTON) LIMITED,98000
01702415,"20 ST. ANDREWGATE, YORK (MANAGEMENT COMPANY) LIMITED",98000
04627625,20 ST. AUBYNS LESSEES LIMITED,98000
02854437,20 ST. GERMAN'S ROAD LIMITED,98000
02890349,20 STANLEY CRESCENT LIMITED,98100
02467419,20 STANLEY ROAD LIMITED,68209
13070920,20 STANTHORPE RD RTM COMPANY LTD,98000
10909638,20 STATION ROAD MANAGEMENT COMPANY LIMITED,68209
12886796,20 STATION ROAD NOMINEE 1 LIMITED,99999
12886801,20 STATION ROAD NOMINEE 2 LIMITED,99999
06469799,20 STATION ROAD WOKINGHAM MANAGEMENT COMPANY LIMITED,98000
07545512,20 STEELES ROAD FREEHOLD LIMITED,98000
16510988,20 STONE VENTURES LIMITED,64209
16129543,20 STORK ROAD LTD,68100
15440435,20 STRATFORD ESTATES LTD,68100
09929206,20 STREATHAM COMMON NORTH FREEHOLD MANAGEMENT COMPANY LIMITED,68209
13122936,20 STUDIO LIMITED,74100
09635306,20 STURGE AVENUE (MANAGEMENT) RTM COMPANY LIMITED,55900
03175051,20 SUNDERLAND TERRACE LIMITED,68209
15006380,20 SYDENHAM ROAD LTD,98000
15823373,20 TANKERTON ROAD LIMITED,68209
09217499,20 TELECOM LTD,61900
13748940,20 TEN B&M LIMITED,73110
08597516,20 TEN CREATIVE LIMITED,73110
13089160,20 TEN HOLDINGS LIMITED,73110
13749239,20 TEN INVEST LIMITED,73110
07191416,20 TEN SHOW SUPPORT LIMITED,43999
04439234,20 TETHERDOWN MANAGEMENT COMPANY LIMITED,98000
06503704,20 THE AVENUE LIMITED,98000
02648119,20 THE CIRCUS BATH LIMITED,81100
09178855,20 THE ELMS MANAGEMENT (RTM) COMPANY LIMITED,98000
01899969,20 THE HIGHWAY MANAGEMENT LIMITED,98000
09627924,20 THE PAVEMENT RTM COMPANY LTD,68209
08465780,20 THE PIAZZA LIMITED,68209
08467502,20 THE PIAZZA MANAGEMENT LIMITED,99999
08019065,20 THE TERRACE MANAGEMENT COMPANY LIMITED,55900
03894462,20 THURLOW HILL LIMITED,98000
16906815,20 TISBURY ROAD RTM COMPANY LIMITED,99999
15195456,20 TO 10 LIFE COACHING LTD,85590
03614000,20 TREGUNTER ROAD LIMITED,98000
07912927,20 TRITON STREET LIMITED,41100
10059856,20 TWELVE LTD,68100
10059856,20 TWELVE LTD,68209
08185379,20 TWENTY INVENTORIES LIMITED,63990
07228107,20 TWENTY LIMITED,82990
15108408,20 TWENTY MGMT LTD,59112
15108408,20 TWENTY MGMT LTD,59200
15108408,20 TWENTY MGMT LTD,70229
15108408,20 TWENTY MGMT LTD,90020
15844725,20 TWENTY PROPERTIES LTD,68209
10455141,20 TWENTY WEALTH MANAGEMENT LIMITED,64999
11336479,20 UNION CRESCENT RTM COMPANY LTD,98000
04545834,20 UPPER ROCK GARDENS LIMITED,98000
16290546,20 UPPER WICKHAM LANE RTM COMPANY LIMITED,98000
10520504,20 UPTON AVENUE MANAGEMENT COMPANY LIMITED,98000
16557990,20 VARIETIES MP LTD,70229
16557990,20 VARIETIES MP LTD,82990
16557990,20 VARIETIES MP LTD,96090
06019849,20 VENTNOR VILLAS (HOVE) LIMITED,98000
09401708,20 VERA ROAD MANAGEMENT COMPANY LIMITED,68320
04397313,20 VERONICA ROAD (FREEHOLD) LIMITED,98000
14434095,20 VICTORIA MAINTENANCE LIMITED,98000
12864408,20 VICTORIA ROAD (CROSBY) MANAGEMENT COMPANY LIMITED,98000
11097059,20 VICTORIA ROAD (PLYMOUTH) LIMITED,82990
06844802,20 VRN RTM COMPANY LIMITED,99999
02830862,20 WALDEGRAVE ROAD MANAGEMENT COMPANY LIMITED,98000
01481747,"20 WALKER TERRACE, PLYMOUTH, LIMITED",98000
06772258,20 WALLWOOD ROAD MANAGEMENT COMPANY LIMITED,98000
02284468,20 WALMER ROAD MANAGEMENT COMPANY LIMITED,98000
