com_num,name,sic_code
08209948, LTD,99999
16092999,ABRIDGE TAX LTD,62020
11743365,BIG IMPACT GRAPHICS LIMITED,59112
11743365,BIG IMPACT GRAPHICS LIMITED,63120
11743365,BIG IMPACT GRAPHICS LIMITED,74100
11743365,BIG IMPACT GRAPHICS LIMITED,74201
16873705,FE NETWORK LIMITED,86210
15073164,NFLECTION ADVISORY LIMITED,70229
13522064,NFOGENIE LTD,58290
11006939,NNOV8 LIMITED,62090
11006939,NNOV8 LIMITED,70229
SC606050,NSPIRED INVESTMENTS LTD,68209
13310195,""" TRIPLE D"" PROPERTIES LIMITED",68209
13310195,""" TRIPLE D"" PROPERTIES LIMITED",68320
11303802,"""1ST RATE"" PSYCHOLOGY SERVICES LTD",85600
11303802,"""1ST RATE"" PSYCHOLOGY SERVICES LTD",86900
05914136,"""243 RUGBY ROAD MANAGEMENT COMPANY LIMITED""",98000
02943302,"""309"" WEST END LANE MANAGEMENT LIMITED",98000
14983527,"""4RENT ESTATES"" LTD",68100
14983527,"""4RENT ESTATES"" LTD",68209
14983527,"""4RENT ESTATES"" LTD",68320
15761044,"""A TASTE OF TUSCANY"" LTD",56101
15761044,"""A TASTE OF TUSCANY"" LTD",68209
04494986,"""A"" CERAMICS LIMITED",86230
02537158,"""A"" CONCEPT LIMITED",64209
02537158,"""A"" CONCEPT LIMITED",73110
SC313991,"""ALL WRAPPED UP"" EVENTS MANAGEMENT LTD",82990
16265766,"""APS""HANDYBUILDER LTD",43320
16265766,"""APS""HANDYBUILDER LTD",43390
16265766,"""APS""HANDYBUILDER LTD",43999
07326397,"""BE"" NEWHALL MANAGEMENT COMPANY LIMITED",98000
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",68100
02871100,"""BEDE INVESTMENT PROPERTIES LIMITED""",68209
01382560,"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED",68320
01382560,"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED",74990
04427981,"""BELLE-VUE"" ENTERPRISES LIMITED",56101
14502415,"""BEON"" SUPPORT LTD",41100
14502415,"""BEON"" SUPPORT LTD",69109
14502415,"""BEON"" SUPPORT LTD",84300
14502415,"""BEON"" SUPPORT LTD",88990
13105018,"""BETTER CALL CECIL"" LTD",99999
17145528,"""BIGHOUSE DIRECT LTD"" LTD",47910
15727849,"""BOCI"" DEEP CLEAN LTD",81210
15727849,"""BOCI"" DEEP CLEAN LTD",81222
02076454,"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED",74990
02076454,"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED",98000
02591631,"""CARTREF NI"" LIMITED",88100
NI059358,"""CNOC NA RI"" DEVELOPMENTS LIMITED",41100
09388058,"""COOK WITH ME"" LIMITED",58110
14428804,"""COOL COFFEE LONDON"" LTD",56102
15081740,"""CREATIVE ECONOMY"" LTD",58190
15081740,"""CREATIVE ECONOMY"" LTD",62090
15081740,"""CREATIVE ECONOMY"" LTD",85520
12237364,"""CRUSTIES SHERBURN"" LIMITED",99999
05210908,"""D"" CAR WASH LIMITED",96090
09102217,"""DAMI.MB"" LTD",63110
00829173,"""DUKE OF WELLINGTON"" (HIGH BRIDGE) LIMITED",68209
01941022,"""FIRST LEADER (UK) LIMITED""",63990
01797810,"""FIVE TOWNS PLUS"" HOSPICE FUND LIMITED(THE)",86101
17046778,"""GNAW N RAW"" LTD",47760
01952156,"""GRENDON COURT"" TEIGNMOUTH MANAGEMENT COMPANY LIMITED",98000
00851579,"""HEIGHTS"" (MANAGEMENT) NO 2 LIMITED(THE)",98000
16622228,"""I AM"" THERAPY LTD",86900
08283517,"""I&GM COMPANY"" LTD",81299
08283517,"""I&GM COMPANY"" LTD",96040
10339143,"""I'M SPARKACUS"" ELECTRICAL LIMITED",82990
03606467,"""INTOUCH COMMUNICATION SERVICES"" LIMITED",61900
00226797,"""K"" LAUNDRY LIMITED",96010
05639474,"""K"" LINE (EUROPE) LIMITED",50200
05639474,"""K"" LINE (EUROPE) LIMITED",52220
04830352,"""K"" LINE BULK SHIPPING (UK) LIMITED",50200
05005018,"""K"" LINE HOLDING (EUROPE) LIMITED",50200
05005018,"""K"" LINE HOLDING (EUROPE) LIMITED",52220
05005018,"""K"" LINE HOLDING (EUROPE) LIMITED",52241
