com_num,name,sic_code
02576788,17 INNER PARK ROAD LIMITED,98000
02576788,17 INNER PARK ROAD LIMITED,99999
16635709,17 INVESTMENTS LIMITED,68100
05017268,17 IVANHOE ROAD MANAGEMENT LIMITED,94990
07476908,17 JOSEPHINE AVENUE LIMITED,55900
11058434,17 KEMPS HOUSE LTD,41100
04302808,17 KENSINGTON PLACE (BATH) LIMITED,55900
06656331,17 KENWYN LIMITED,98000
04110091,17 KING HENRY'S ROAD RESIDENTS LIMITED,68209
06983692,17 KINGDON ROAD (FREEHOLD) COMPANY LIMITED,74990
07302920,17 KINGS GROVE MANAGEMENT LIMITED,68209
12006941,17 KINGSWAY MANAGEMENT LIMITED,98000
12823850,17 KNATCHBULL ROAD FREEHOLD MANAGEMENT LIMITED,68320
12464030,17 KPG LTD,82990
09912005,17 KR LIMITED,55900
17103195,17 LABS LTD,10822
17103195,17 LABS LTD,10890
17103195,17 LABS LTD,46360
17103195,17 LABS LTD,47910
08736886,17 LADBROKE CRESCENT W11 LIMITED,81100
04739690,17 LANCASTER GROVE FLAT MANAGEMENT LIMITED,98000
14379828,17 LANCASTER INVESTMENTS LIMITED,68209
12697963,17 LANDGATE LIMITED,56103
16940648,17 LANGHAM PLACE MANAGEMENT LTD,98000
16511508,17 LANHILL ROAD (FREEHOLD) COMPANY LIMITED,98000
14503483,17 LANHILL ROAD RTM COMPANY LIMITED,98000
06155199,17 LANSDOWN PLACE LIMITED,98000
10508886,17 LANSDOWNE PLACE FREEHOLD LIMITED,98000
14230317,17 LATON ROAD LIMITED,98000
15370387,17 LEALAND LTD,68209
04473085,17 LEIGH STREET FLAT OWNERS LIMITED,98000
05114553,17 LENNOX GARDENS LIMITED,70229
16105489,17 LEWES CRESCENT LTD,82990
06786474,17 LEWIN ROAD COMPANY LIMITED,98000
03452134,17 LEXHAM GARDENS LIMITED,98000
04827040,17 LG LIMITED,99999
08226227,17 LIMES GROVE LTD,98000
03515903,17 LINCOLN ROAD MANAGEMENT LIMITED,68209
02328272,17 LIONGATE GARDENS LIMITED,98000
07867510,17 LITHOS ROAD RTM COMPANY LTD,68209
13917948,17 LITTLE BOLTONS FREEHOLD LIMITED,98000
12084816,17 LIVES LIMITED,70229
08432775,17 LOGISTICS LIMITED,82990
16872905,17 LONDON LANE LIMITED,98000
08606212,17 LONDON LTD,46420
15081434,17 LOVELL RISE LTD,68209
12487181,17 LOWER HILLGATE MANAGEMENT COMPANY LIMITED,99999
01671397,17 LOWER OLDFIELD PARK MANAGEMENT COMPANY LIMITED,98000
02759898,17 LOWNDES SQUARE PROPERTY MANAGEMENT COMPANY LIMITED,98000
16635713,17 LTD,64209
04137598,17 LUCIEN ROAD LIMITED,55900
16805139,17 LUCKY DUCK STUDIOS LTD,58210
16805139,17 LUCKY DUCK STUDIOS LTD,62011
16805139,17 LUCKY DUCK STUDIOS LTD,72190
04194585,17 LYDFORD MANAGEMENT LIMITED,98000
10351439,17 LYME STREET MANAGEMENT LIMITED,98000
02289915,17 LYNTON ROAD MANAGEMENT COMPANY LIMITED,98000
