publishedAt,date,source.name,title,description,title_len,description_len,url
2026-06-14 10:47:12+00:00,2026-06-14,Dailymail.com,How following a trendy high-protein diet could put you at risk of a 'silent killer' disease,"Thousands following high-protein diets promoted by social media influencers are putting themselves at risk, warn experts.",91,121,https://www.dailymail.com/health/article-15897547/trendy-high-protein-diet-risk-silent-killer-disease.html
2026-06-13 17:47:39+00:00,2026-06-13,Dailymail.com,Council enforcement officers are sacked after they are caught on camera threatening member of the public,"Harrow Council, in northwest London , have sacked two employees who were filmed intimidating a man on the street after accusing him of 'messing with our money'.",104,160,https://www.dailymail.com/news/article-15897321/Council-officers-sacked-threatening-man.html
2026-06-13 13:30:00+00:00,2026-06-13,CNA,He runs instead of flies but Singapore's very own Superman is finding a way to leave his own mark,"<![CDATA[ Mr Simon Trevor Wood, a 61-year-old expatriate, has gone viral online as people spot him in public wearing an unusual suit. CNA TODAY's journalist Loraine Lee gives chase to find out who the man in the cape is. ]]>",97,224,https://www.channelnewsasia.com/today/up-close/superman-jurong-running-charity-marathon-expat-simon-trevor-wood-british-6170226
2026-06-12 13:29:00+00:00,2026-06-12,GlobeNewswire,Cosmos Health Reports Annualized Sales Exceeding $1.5M for Its C-Scrub and C-Sept Antiseptic Brands in the UK and Greece; Plans EU Expansion Targeting $7.4M in Revenue and $5.3M in Gross Profit,"Cosmos Health announces strong sales momentum for its proprietary antiseptic brands, C-Scrub and C-Sept. ...",193,108,https://www.globenewswire.com/news-release/2026/06/12/3311086/0/en/Cosmos-Health-Reports-Annualized-Sales-Exceeding-1-5M-for-Its-C-Scrub-and-C-Sept-Antiseptic-Brands-in-the-UK-and-Greece-Plans-EU-Expansion-Targeting-7-4M-in-Revenue-and-5-3M-in-Gro.html
2026-06-12 11:23:51+00:00,2026-06-12,Www.gov.uk,Miss A Rowntree v Tesco Stores Ltd: 3311377/2024,Employment Tribunal decision.,48,29,https://www.gov.uk/employment-tribunal-decisions/miss-a-rowntree-v-tesco-stores-ltd-3311377-slash-2024
2026-06-12 11:18:41+00:00,2026-06-12,Dailymail.com,How I survived my year from hell: LORRAINE KELLY speaks about tragic death of her father for first time and reveals what happened night she got the call... as she opens up on brutal downsizing of her show and plans for future,"There is a specific phone call dreaded by anyone with an ageing parent. For Lorraine Kelly, it came on a Saturday morning in January. Her mother's voice was on the line, but the words weren't coming.",225,199,https://www.dailymail.com/tv/article-15894669/Lorraine-Kelly-year-hell-ITV-breakfast-TV-presenter-father.html
2026-06-12 10:58:16+00:00,2026-06-12,Www.gov.uk,Mr S Beesley v Tesco Stores Ltd: 3301909/2025,Employment Tribunal decision.,45,29,https://www.gov.uk/employment-tribunal-decisions/mr-s-beesley-v-tesco-stores-ltd-3301909-slash-2025
2026-06-11 15:23:00+00:00,2026-06-11,PRNewswire,TESCO Metering Launches Universal SIM Card for AMI Networks and Expands the TESCO AMI Adaptiv™ Ecosystem,"New carrier-agnostic connectivity solution strengthens AMI 2.0, Private LTE, fiber, and grid modernization initiatives while providing utilities with a flexible, interoperable Advanced Metering Infrastructure ecosystem BRISTOL, Pa., June 11, 2026 /PRNewswire/…",104,260,https://www.prnewswire.com/news-releases/tesco-metering-launches-universal-sim-card-for-ami-networks-and-expands-the-tesco-ami-adaptiv-ecosystem-302798249.html
2026-06-10 20:13:34+00:00,2026-06-10,Dailymail.com,JOHN MACLEOD: Now even Janet and John have become victims of the PC jobsworths,First they came for Enid Blyton. I said nothing: it was 1979 and I had long outgrown her. Then they came for JK Rowling .,78,121,https://www.dailymail.com/news/article-15889955/JOHN-MACLEOD-Janet-John-trigger-warnings.html
2026-06-10 13:05:47+00:00,2026-06-10,Dailymail.com,"Met officer allowed Tesco delivery driver to crash into his Citroen in £33,000 insurance scam, court hears","Kuldip Singh, 42, staged deliberate car smashes as part of a gang and told a 'series of sustained lies' as he filed sham compensation claims.",106,141,https://www.dailymail.com/news/article-15888401/Met-officer-Tesco-delivery-driver-crash-car-33-000-insurance-scam-court.html
2026-06-10 12:45:47+00:00,2026-06-10,Mohkohn.co.uk,Building an HTML-first site doubled our users overnight,"My client was a utility company, and they had a big problem...",55,62,https://mohkohn.co.uk/writing/html-first/
2026-06-10 11:08:17+00:00,2026-06-10,Www.gov.uk,Mr A Vetesi v Tesco Stores Ltd: 8001593/2025,Employment Tribunal decision.,44,29,https://www.gov.uk/employment-tribunal-decisions/mr-a-vetesi-v-tesco-stores-ltd-8001593-slash-2025
2026-06-10 11:05:15+00:00,2026-06-10,Fortune,Jamie Laing thinks tomorrow’s Fortune 500 will be built by creators. He might be right,"Creator-led brands have been easy to dismiss as novelties built on borrowed fame. But their cultural fluency, agility and proximity to consumers make them better equipped to build lasting businesses, argues Candy Kittens co-founder and reality star Jamie Lain…",86,260,https://fortune.com/2026/06/10/jamie-laing-thinks-tomorrows-fortune-500-will-be-built-by-creators-he-might-be-right/
2026-06-10 10:51:09+00:00,2026-06-10,Dailymail.com,"What eating pineapple really does to your body, from supporting immunity to causing your tongue to tingle","Once a symbol of luxury and wealth, pineapples are now as common a sight at supermarkets as a bag of carrots or bin of grubby potatoes.",105,135,https://www.dailymail.com/health/article-15886295/What-eating-pineapple-really-does-body-supporting-immunity-causing-tongue-tingle.html
2026-06-10 07:58:06+00:00,2026-06-10,Dailymail.com,Prince Harry's double amputee Afghan war hero friend is forced to launch public appeal for prosthetic arm so he can hold his children's hands,"Former Royal Marine Commando Ben McBean, 39, was praised and befriended by Prince Harry after he was badly injured in a landmine blast during the Afghan conflict in 2008.",141,170,https://www.dailymail.com/news/article-15887889/Prince-Harrys-double-amputee-Afghan-war-hero-friend-forced-launch-public-appeal-prosthetic-arm-hold-childrens-hands.html
2026-06-09 15:28:15+00:00,2026-06-09,Financial Post,"dunnhumby Launches Retail:Vision, a Blueprint for Connected, AI-Powered Retail Decision-Making in an Age of Disruption","CINCINNATI — dunnhumby has today launched a new opinion paper, Retail:Vision, exploring the forces reshaping the retail industry and the capabilities that retailers should develop to stay close to customers in an increasingly dynamic marketplace. With contrib…",118,260,https://financialpost.com/pmn/business-wire-news-releases-pmn/dunnhumby-launches-retailvision-a-blueprint-for-connected-ai-powered-retail-decision-making-in-an-age-of-disruption
2026-06-09 11:26:54+00:00,2026-06-09,Order-order.com,Supermarkets Making Major Intervention Against Labour’s War on Youth Jobs,The trade association for the retail industry – in conjunction with major supermarkets – is preparing a massive intervention against the government on Labour’s hikes to the cost of employment. Even Labour veteran Alan Milburn accepted that government policies…,73,260,https://order-order.com/2026/06/09/supermarkets-making-major-intervention-against-labours-war-on-youth-jobs/
2026-06-09 10:14:56+00:00,2026-06-09,Dailymail.com,Britain is crazy for SALMON: Demand for the fish skyrockets as health-conscious TikTokers flock to stock up,New figures released by Salmon Scotland have revealed how demand for the humble fish has soared over the last year.,107,115,https://www.dailymail.com/sciencetech/article-15885189/Britain-crazy-SALMON-Demand-fish-skyrockets.html
2026-06-09 09:50:11+00:00,2026-06-09,The Conversation Africa,How positive tipping points may be the key to protecting tropical rainforests,We don’t have to persuade everyone to do the right thing. We just need to persuade enough people to make the system tip in the right direction.,77,143,https://theconversation.com/how-positive-tipping-points-may-be-the-key-to-protecting-tropical-rainforests-284659
2026-06-09 09:06:21+00:00,2026-06-09,Dailymail.com,The nostalgic supermarket bags from your childhood that no longer exist after the ban on plastic carriers - as Rivals viewers reminisce over Waitrose shoppers from the 80s,In 2015 single-use bags virtually faded into non-existence following a government-enforced plastic bag charge.,171,110,https://www.dailymail.com/lifestyle/article-15877403/Nostalgic-supermarket-carrier-bags-retro-Rivals-vintage.html
2026-06-09 05:13:09+00:00,2026-06-09,Bloomberg,"Extreme heat risks losses for Indian suppliers to Uniqlo, Tesco","Large areas of the nation have suffered through heat waves this year with temperatures routinely above 45C (113F), and a high of 48.2C recorded in a town in Uttar Pradesh last month",63,181,https://www.bloomberg.com/news/articles/2026-06-09/extreme-heat-risks-losses-for-indian-suppliers-to-uniqlo-tesco
