date,source.name,title,description,content,title_len,description_len
2026-06-24,Vanguard,British Airways pilot jailed eight years for raping groomed minor,"A former British Airways pilot has been sentenced to more than eight years in prison after grooming and sexually abusing a 12-year-old girl he met online.
The post British Airways pilot jailed eight years for raping groomed minor appeared first on Vanguard Ne…","A former British Airways pilot has been sentenced to more than eight years in prison after grooming and sexually abusing a 12-year-old girl he met online.
Kwame Yeboah, 30, a Ghana-born ex-England y… [+1497 chars]",65,260
2026-06-24,Fly4free.com, Cheap British Airways flights from London to multiple Caribbean destinations️ from £470,"Dreaming of turquoise water, white-sand beaches, and warm Caribbean sunshine? British Airways is offering attractive fares to some of the Caribbean's most beautiful islands, with flights available between September and November from just £470 return.","Dreaming of turquoise water, white-sand beaches, and warm Caribbean sunshine? British Airways is offering attractive fares to some of the Caribbean’s most beautiful islands, with flights available be… [+3369 chars]",88,250
2026-06-24,Fly4free.com,"WOW  Open-jaw British Airways flights from Brussels to Johannesburg, South Africa (return to Germany)  from €309","By combining British Airways and Virgin Atlantic flights, you can fly from Brussels to Johannesburg and return to multiple cities in Germany for as little as €309! Incredible price for such a destination! Check out the possible connections below.","By combining British Airways and Virgin Atlantic flights, you can fly from Brussels to Johannesburg and return to multiple cities in Germany for as little as 309! Incredible price for such a destinat… [+3813 chars]",112,246
2026-06-24,Loyaltylobby.com,British Airways Begins Codesharing Porter Flights In Canada,"British Airways and Porter Airlines, a Canadian carrier, have signed a codeshare agreement that will see the British carrier place its code on 17 destinations in Canada. This doesn’t mean that these two airlines would have a frequent flier partnership, and Po…","British Airways and Porter Airlines, a Canadian carrier, have signed a codeshare agreement that will see the British carrier place its code on 17 destinations in Canada.This doesnt mean that these tw… [+3336 chars]",59,260
2026-06-24,Time Out,This new hypersonic plane will go from London to Sydney in just three hours,The European Space Agency is developing an aircraft which will be able to reach Oz in around a tenth of the time it currently takes,"If you’re anything like us, a trip Down Under has long been on the bucket list. Hanging 10 on the Sydney surf, throwing a couple shrimps on the barbie and sipping on a flat white? Yep, we could get u… [+2686 chars]",75,131
2026-06-24,Dailymail.com,British Airways pilot who drove 200 miles in his Mercedes to rape 12-year-old girl after grooming her on social media is jailed for eight years,"Kwame Yeboah, a former England youth basketballer from Reading, Berkshire, met his victim on a video chatroom before exchanging explicit messages and calls with her via social media.",A 'despicable' British Airways pilot who drove hundreds of miles in his Mercedes in order to sexually abuse a 12-year-old girl after grooming her via social media has today been jailed for more than … [+7189 chars],143,182
2026-06-24,Dailymail.com,"Dubai is back! After Middle East travel ban is lifted, these are the most incredible places to stay, from a party resort to ultra-luxe hideaway","From beachfront resorts to ultra-luxury skyline retreats, Dubai's hotels are preparing for a wave of returning travellers as the destination reopens to Brits.","Daily Mail journalists select and curate the products that feature on our site. If you make a purchase via links on this page we will earn commission - learn more
Holidays to Dubai are well and trul… [+11905 chars]",143,158
2026-06-24,Milesforfamily.com,Review: Cathay Pacific Premium Economy HKG to SEA,"This is a continuation of my Asia trip report. See also Back from Thailand and Singapore: 7 Biggest Takeaways, Review: Singapore Airlines Business Class SFO to SIN to BKK The most important flights on international trips are the long-haul flights across the p…","This is a continuation of my Asia trip report. See also Back from Thailand and Singapore: 7 Biggest Takeaways, Review: Singapore Airlines Business Class SFO to SIN to BKK
The most important flights … [+3597 chars]",49,260
2026-06-24,Dailymail.com,"Megan Pickford finally gets to unveil her WAG World Cup wardrobe as she sports a white minidress, £6,000 Chanel handbag and vintage Chanel brooch after missing suitcase drama",Megan Pickford has finally had the chance to unveil her WAG World Cup wardrobe after being reunited with her missing suitcase.,"Megan Pickford has finally had the chance to unveil her WAG World Cup wardrobe after being reunited with her missing suitcase. 
The wife of England goalkeeper Jordan Pickford broke out her favourite… [+6050 chars]",174,126
2026-06-24,New Zealand Herald,Airbus to inspect 16 A380s after cracks found on plane wings,Safety watchdog says the cracks could weaken structural integrity of the wing.,"Airlines using the A380 include Emirates, Singapore Airlines, British Airways, Qantas, Lufthansa, Qatar Airways, Korean Air, Etihad Airways, ANA and Asiana Airlines.
Emirates operates the largest A3… [+978 chars]",60,78
2026-06-24,The Times of India,"Airbus to inspect 16 Emirates, Qantas A380s after wing cracks found","Airbus on Tuesday said it would inspect 16 A380 planes, five of them immediately, after cracks were found in a key wing component on aircraft used by the Emirates and Qantas airlines. Of the 16 planes to be inspected, 15 are operated by Emirates and one by Qa…","Toulouse: Airbus on Tuesday said it would inspect 16 A380 planes, five of them immediately, after cracks were found in a key wing component on aircraft used by the Emirates and Qantas airlines.The Eu… [+1943 chars]",67,260
2026-06-24,CNA,Airbus to inspect 16 A380s after cracks found on plane wings,The cracks appeared in a structural beam that runs along the wing and carries much of the aerodynamic load during flight.,"TOULOUSE, France: Airbus on Tuesday (Jun 23) said it would inspect 16 A380 planes, five of them immediately, after cracks were found in a key wing component on aircraft used by the Emirates and Qanta… [+1932 chars]",60,121
2026-06-24,ABC News (AU),Qantas A380 to be inspected urgently after cracks found,"Airbus says it will inspect 16 A380 planes, including one Qantas plane, after cracks were found in a key wing component.","Airbus said it would inspect 16 A380 planes, five of them immediately, after cracks were found in a key wing component on aircraft used by the Emirates and Qantas airlines.
The European Union Aviati… [+2022 chars]",55,120
2026-06-23,Viewfromthewing.com,"Best Rewards Card Offers Right Now — Up To 200,000 Points In Bonuses For Premium Travel [June 2026]","June 2026 brings a fresh round of best-ever credit card offers, with several new bonuses added and others already gone. Here’s the up-to-date list of the most lucrative deals still available.","The best credit card offers are the quickest, easiest way to earn a large amount of miles and jump start your travel. These are the most lucrative. There are several new best-ever and limited-time of… [+13263 chars]",99,191
2026-06-23,Digital Journal,Airbus to inspect 16 A380s after cracks found on plane wings,"The cracks appeared in a structural beam that runs along the wing and carries much of the aerodynamic load during flight. 
The post Airbus to inspect 16 A380s after cracks found on plane wings appeared first on Digital Journal.","Airbus on Tuesday said it would inspect 16 A380 planes, five of them immediately, after cracks were found in a key wing component on aircraft used by the Emirates and Qantas airlines.
The European U… [+1753 chars]",60,227
2026-06-23,Steynonline.com,Brexit at Ten,"Today is the 10th anniversary of Brexit. You wouldn't know it if you listened to the MSM, especially in Britain where you'd get the ""alternate"" anniversary. That's why we are here at the Mark Steyn Club - to mark the occasion, provide the ground truth,","Today is the 10th anniversary of Brexit. You wouldn't know it if you listened to the MSM, especially in Britain where you'd get the ""alternate"" anniversary. That's why we are here at the Mark Steyn C… [+59926 chars]",13,252
2026-06-23,Thealviator.com,"BOOKED: SriLankan, Singapore Airlines, Saudia, and More!","Here's an overview of my next review trip, incl. SriLankan business class, Saudia business class, Singapore Airlines premium economy, etc.","Im sorry for being a bit MIA over the past month. Many who follow me on LinkedIn may know that I now work for Virgin Atlantic in their revenue management department (Im around three months in), which… [+7355 chars]",56,138
