com_num,name,age_years,sector,account_type,accounts_overdue,nonlloyds_charges,has_nonlloyds_charge,yrs_since_nonlloyds_chg,n_distinct_lenders,label,score
13884355,APATURA BATTERY LTD,3.915126625598905,D: Utilities,micro-entity,0,89,1,0.9637234770704995,73,0,0.9999998309586048
11963719,AITUS ASSOCIATES LIMITED,6.6885694729637235,L: Real Estate,total-exemption-full,0,69,1,0.1423682409308692,27,0,0.9992406493083495
13262775,APPLE FARM LTD,4.80766598220397,L: Real Estate,total-exemption-full,0,175,1,-0.4243668720054757,23,0,0.9992132232536546
10781840,AH INVESTMENT SOLUTIONS LTD,8.618754277891854,L: Real Estate,total-exemption-full,0,53,1,-0.2272416153319644,25,0,0.998652903018267
01340889,AMBASSADOR HOUSE HOLDINGS LIMITED,48.09308692676249,F: Construction,total-exemption-full,0,83,1,37.33607118412046,14,0,0.9985935000940436
10666089,ATHLETE PROPERTY INVESTMENT LIMITED,8.804928131416839,L: Real Estate,total-exemption-full,0,80,1,-0.405201916495551,23,0,0.9983230244225454
NI029542,ALFRED STREET PROPERTIES LIMITED,30.63107460643395,L: Real Estate,total-exemption-full,0,60,1,7.920602327173169,21,0,0.9981351477544315
09130764,ATLANTAS SHIP MANAGEMENT LIMITED,11.46611909650924,N: Admin Support,small,0,44,1,-0.4736481861738535,23,0,0.9980593798789523
01886042,19 ENTERTAINMENT LIMITED,40.87885010266941,N: Admin Support,small,0,43,1,6.417522245037645,21,0,0.9979863504364763
SC486665,ATOM CONTRACTS LIMITED,11.293634496919918,F: Construction,micro-entity,0,58,1,-0.1149897330595482,28,0,0.9974608917175803
03408170,ALLIANCE FILMS (UK) LIMITED,28.45722108145106,J: Information/Comms,small,0,37,1,3.9315537303216974,25,0,0.9973367102889823
10541620,3TS INVESTMENT LTD,9.007529089664612,L: Real Estate,total-exemption-full,0,99,1,-0.3668720054757016,20,0,0.9972838898867402
05831934,AKWEL CHIPPENHAM UK LIMITED,19.592060232717316,C: Manufacturing,small,0,36,1,15.129363449691992,15,0,0.9971515126557641
10772387,ANZAR PROPERTY INVESTORS LIMITED,8.629705681040383,L: Real Estate,total-exemption-full,0,91,1,-0.3449691991786447,20,0,0.9971088170539887
SC104545,ADENIA FISHING CO. LIMITED,38.65571526351814,A: Agriculture,small,0,38,1,6.198494182067077,13,0,0.9965765141356663
02714213,ASHCORN ESTATES LIMITED,33.637234770705,L: Real Estate,total-exemption-full,0,55,1,16.48186173853525,16,0,0.9965723632326252
00844612,AGARBATTY LIMITED,60.7419575633128,L: Real Estate,small,0,18,1,35.14579055441479,10,0,0.9960911181047973
09104890,ANNIKA PROPERTIES LTD,11.51813826146475,L: Real Estate,total-exemption-full,0,104,1,-0.4736481861738535,18,0,0.9959895438033194
00209494,ANTHROPOSOPHICAL ASSOCIATION LIMITED(THE),100.1533196440794,L: Real Estate,medium,0,3,1,45.50034223134839,3,0,0.9958101193477715
00772489,ABBEYFIELD DULWICH SOCIETY LIMITED(THE),62.340862422997944,Q: Health/Social,total-exemption-full,0,11,1,43.26078028747433,8,0,0.9956975353883943
00744598,ASTOR LODGE HOLDINGS LIMITED,63.0362765229295,L: Real Estate,total-exemption-full,0,12,1,44.34496919917864,9,0,0.9956897122318745
02135425,APRIROSE LIMITED,38.59548254620123,L: Real Estate,medium,0,15,1,4.848733744010952,13,0,0.9953025507180517
12649845,ACRE PROPERTIES (1988) LTD,5.574264202600959,L: Real Estate,total-exemption-full,0,242,1,-0.3860369609856263,12,0,0.9952634169718544
04160771,ACCENTRIC LIMITED,24.876112251882272,L: Real Estate,total-exemption-full,0,46,1,0.2080766598220397,19,0,0.9950486167808749
02080800,ASHLEY BAIRD ESTATES LIMITED,39.07460643394935,L: Real Estate,total-exemption-full,0,69,1,-0.3285420944558521,18,0,0.9947465851133791
